Computer Name,Operating System,Model,Serial Number
MCDB-4V8N3F3,Windows 11,XPS 15 9500,4V8N3F3
MCDB-4VPR2Z3,Windows 11,OptiPlex SFF Plus 7010,4VPR2Z3
MCDB-4XFQDW2,Windows 11,OptiPlex 5060,4XFQDW2
MCDB-4XQLDW2,Windows 11,OptiPlex 5060,4XQLDW2
MCDB-53PHR33,Windows 11,OptiPlex 7070,53PHR33
MCDB-565XJD3,Windows 11,OptiPlex 7080,565XJD3
MCDB-57079R3,Windows 11,Precision 5820 Tower,57079R3
MCDB-5CD6332WXL,Windows 10,,
MCDB-5CD634000H,Windows 10,EliteBook Folio 1040 G3,5CD634000H
MCDB-5CD938FDDK,Windows 11,EliteBook x360 1030 G3,5CD938FDDK
MCDB-5CG014624Z,Windows 11,Elite Dragonfly,5CG014624Z
MCDB-5CG014626Y,Windows 10,Elite Dragonfly,5CG014626Y
MCDB-5CG03602SJ,Windows 11,EliteBook 840 G6,5CG03602SJ
MCDB-5CG0423KC0,Windows 10,EliteBook 840 G7,5CG0423KC0
MCDB-5CG051535X,Windows 10,,
MCDB-5CG10238ZY,Windows 10,EliteBook 840 G7,5CG10238ZY
MCDB-5CG7241214,Windows 10,EliteBook 850 G3,5CG7241214
MCDB-5CG9243Z7J,Windows 10,EliteBook 840 G5,5CG9243Z7J
MCDB-5CG9388YXT,Windows 11,EliteBook 840 G6,5CG9388YXT
MCDB-5CG94006VG,Windows 10,EliteBook 840 G5,5CG94006VG
MCDB-5CRMFK3,Windows 10,Latitude 9420,5CRMFK3
MCDB-5MZH9R3,Windows 11,Precision 5820 Tower,5MZH9R3
MCDB-6196693753,Windows 10,Surface Pro 7,6196693753
MCDB-67079R3,Windows 11,Precision 5820 Tower,67079R3
MCDB-676X0Q2,Windows 11,OptiPlex 7050,676X0Q2
MCDB-6SQBJR3,Windows 10,Latitude 9430,6SQBJR3
MCDB-7B0K6D3,Windows 11,Latitude 5420,7B0K6D3
MCDB-7BB3PG3,Windows 10,Latitude 5320,7BB3PG3
MCDB-7VB69R3,Windows 11,OptiPlex 5000,7VB69R3
MCDB-7X06KH2,Windows 10,OptiPlex 3046,7X06KH2
MCDB-7X07KH2,Windows 10,OptiPlex 3046,7X07KH2
MCDB-7X12KH2,Windows 10,OptiPlex 3046,7X12KH2
mcdb-8b2x2l3,Windows 11,OptiPlex 5090,8B2X2L3
MCDB-8CG81244S,Windows 10,ProDesk 600 G3 Desktop Mini,8CG81244S0
MCDB-8H1FRY3,Windows 11,OptiPlex SFF Plus 7010,8H1FRY3
MCDB-9BK5063,Windows 11,XPS 15 9500,9BK5063
MCDB-9KGYQP2,Windows 10,OptiPlex 7050,9KGYQP2
MCDB-9KY1773,Windows 11,Precision 5820 Tower,9KY1773
MCDB-9SNKQV3,Windows 11,Latitude 5440,9SNKQV3
mcdb-B0PSNZ3,Windows 11,OptiPlex SFF Plus 7010,B0PSNZ3
MCDB-B932GT3,Windows 11,Precision 5820 Tower,B932GT3
MCDB-BCHFLR2,Windows 11,OptiPlex 7060,BCHFLR2
MCDB-C8H15Z2,Windows 11,OptiPlex 7070,C8H15Z2
MCDB-CBLKQV3,Windows 11,Latitude 5440,CBLKQV3
MCDB-CD0LN53,Windows 10,XPS 13 9300,CD0LN53
MCDB-CNU421CPD5,Windows 10,ProBook 650 G1,CNU421CPD5
MCDB-CPLSDY3,Windows 11,Latitude 5440,CPLSDY3
MCDB-CZC5293DRR,Windows 10,Z440 Workstation,CZC5293DRR
mcdb-CZC5X,Windows 7,Z840 Workstation,CZC73178VQ
MCDB-CZC6338R5D,Windows 10,Z840 Workstation,CZC6338R5D
mcdb-CZC731796N,Windows 7,,
MCDB-FLJHGF1,Windows 7,OptiPlex 755,FLJHGF1
MCDB-FMWJ0R3,Windows 11,Precision 3660 Tower,FMWJ0R3
MCDB-FN9SNZ3,Windows 11,OptiPlex SFF Plus 7010,FN9SNZ3
MCDB-FTPR2Z3,Windows 11,OptiPlex SFF Plus 7010,FTPR2Z3
MCDB-G7TYYS3,Windows 11,OptiPlex 5000,G7TYYS3
MCDB-GJX6PF3,Windows 11,OptiPlex 5090,GJX6PF3
MCDB-GM54JQ1,Windows 7,OptiPlex 990,GM54JQ1
MCDB-GZ2BFY3,Windows 11,Latitude 5440,GZ2BFY3
MCDB-H5L46G3,Windows 11,Precision 5560,H5L46G3
MCDB-H7TYYS3,Windows 11,OptiPlex 5000,H7TYYS3
MCDB-HLKDXP3,Windows 11,OptiPlex 7090,HLKDXP3
MCDB-HPFNGB3,Windows 11,Precision 5550,HPFNGB3
MCDB-JBARDWELSP,Windows 11,Surface Pro 6,37434783853
MCDB-JJVQWX3,Windows 10,Precision 7865 Tower,JJVQWX3
MCDB-MXL002243C,Windows 11,Z2 Tower G4 Workstation,MXL002243C
MCDB-MXL0033YPX,Windows 11,ProDesk 600 G5 SFF,MXL0033YPX
MCDB-MXL00645RR,Windows 11,ProDesk 600 G5 SFF,MXL00645RR
MCDB-MXL0493L20,Windows 11,ProDesk 600 G5 SFF,MXL0493L20
MCDB-MXL7282XXM,Windows 7,,
MCDB-MXL7312N3R,Windows 10,,
MCDB-MXL80412LM,Windows 10,ProDesk 600 G3 SFF,MXL80412LM
MCDB-MXL80417X0,Windows 10,ProDesk 600 G3 SFF,MXL80417X0
MCDB-MXL8271MX9,Windows 10,ProDesk 600 G3 SFF,MXL8271MX9
MCDB-MXL8271MXB,Windows 10,ProDesk 600 G3 SFF,MXL8271MXB
MCDB-MXL8271MXC,Windows 10,ProDesk 600 G3 SFF,MXL8271MXC
MCDB-MXL8411V7W,Windows 10,ProDesk 600 G3 SFF,MXL8411V7W
MCDB-MXL8411V85,Windows 10,ProDesk 600 G3 SFF,MXL8411V85
MCDB-MXL90939RQ,Windows 11,ProDesk 600 G4 SFF,MXL90939RQ
MCDB-MXL9102JN1,Windows 11,ProDesk 600 G4 SFF,MXL9102JN1
MCDB-MXL9151SHW,Windows 11,ProDesk 600 G4 SFF,MXL9151SHW
MCDB-MXL9151SHY,Windows 11,ProDesk 600 G4 SFF,MXL9151SHY
MCDB-MXL9151TBF,Windows 11,ProDesk 600 G4 SFF,MXL9151TBF
MCDB-MXL9155283,Windows 11,ProDesk 600 G4 SFF,MXL9155283
MCDB-MXL9201Y82,Windows 11,ProDesk 600 G4 SFF,MXL9201Y82
MCDB-MXL9215D01,Windows 11,ProDesk 600 G4 SFF,MXL9215D01
MCDB-MXL9215D3G,Windows 11,ProDesk 600 G4 SFF,MXL9215D3G
MCDB-MXL9221Y0V,Windows 11,ProDesk 600 G4 SFF,MXL9221Y0V
MCDB-MXL9221Y0W,Windows 11,ProDesk 600 G4 SFF,MXL9221Y0W
